date, GDP ( Billions of US $), Per Capita (US $), Annual % Change
1960-12-31,0.4495268732959,128.5306,0
1961-12-31,0.485785230979,134.8456,4.5464
1962-12-31,0.5317365992505,143.284,10.2787
1963-12-31,0.5862948787446,153.3721,9.4282
1964-12-31,0.5828163964044,148.0354,0.131
1965-12-31,0.6733835108129,166.123,6.9198
1966-12-31,0.7022960785932,168.3154,-0.3825
1967-12-31,0.6655868722744,154.9937,0.1229
1968-12-31,0.6412142262095,145.1383,0.3835
1969-12-31,0.6258679852738,137.7656,-5.4859
1970-12-31,0.649916621243,139.1771,3.0558
1971-12-31,0.6935737036303,144.5828,5.6793
1972-12-31,0.7427796608187,150.7779,-5.1663
1973-12-31,0.9463851051937,187.0555,-17.0476
1974-12-31,1.0261371108931,197.464,8.7752
1975-12-31,1.0486909332103,196.4026,-2.7932
1976-12-31,1.0645176012902,193.9486,0.6782
1977-12-31,1.2914580414619,228.7911,7.7646
1978-12-31,1.7743655897082,305.3801,13.4726
1979-12-31,2.1092776656991,352.3007,7.147
1980-12-31,2.508524720719,406.3588,-2.455
1981-12-31,2.1708934143888,340.9997,-0.1777
1982-12-31,2.0176122159793,307.3546,2.1745
1983-12-31,1.8030995612005,266.4703,-3.8636
1984-12-31,1.4612433261288,209.5318,-16.8198
1985-12-31,1.4405816523985,200.4255,7.7181
1986-12-31,1.9040969983001,257.0199,6.3521
1987-12-31,2.2330061049278,292.4088,0.0883
1988-12-31,2.2803561927627,289.6701,6.8712
1989-12-31,2.1795671143339,268.5494,0.957
1990-12-31,3.512356507886,419.6039,-1.3085
1991-12-31,3.2857968749713,380.5366,-0.4395
1992-12-31,3.3862325792252,380.1491,2.0008
1993-12-31,3.0526738492518,332.0622,0.3217
1994-12-31,1.938058175214,204.1496,1.8548
1995-12-31,2.3025375622441,234.6196,2.4572
1996-12-31,2.4056869400464,237.015,0.1005
1997-12-31,2.2903189102066,218.2461,1.5275
1998-12-31,2.6433635189927,243.5175,9.9726
1999-12-31,2.537789820693,225.9535,-0.2196
2000-12-31,2.2417531928116,192.8777,-1.2085
2001-12-31,2.4487147039662,203.5265,7.2681
2002-12-31,2.782192878672,223.3524,4.9185
2003-12-31,3.3940847324954,263.0912,2.1706
2004-12-31,3.760443737538,281.3254,0.3638
2005-12-31,4.3833159645872,316.3656,7.3319
2006-12-31,4.7563612523792,331.1038,5.931
2007-12-31,5.7314850517907,384.7183,3.1427
2008-12-31,7.2976002260054,472.1784,7.7314
2009-12-31,7.3521313097334,458.4219,1.9626
2010-12-31,7.8511925023092,471.6127,8.5782
2011-12-31,8.7729507777918,507.6025,2.3578
2012-12-31,9.4269126475911,525.0473,10.5489
2013-12-31,10.224897437865,548.1578,5.3151
2014-12-31,10.862943543542,560.7545,6.6421
2015-12-31,9.6838679264428,481.1113,4.3926
2016-12-31,10.398861981758,497.0361,5.7409
2017-12-31,11.185104251678,514.5434,5.0054
2018-12-31,12.83730749688,568.5997,7.2114
2019-12-31,12.889555561304,549.8161,5.9399
2020-12-31,13.744653102994,564.8417,3.5506
2021-12-31,14.915002435991,590.6295,1.3836
2022-12-31,15.342278919401,585.4049,11.4897
